signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,1.58767214e-05,4.40710000e-05,2.40959564e-03,2.40959564e-01
Lift (Lz),HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,2.61580078e-04,6.86535100e-04,2.65383841e-01,2.65383841e+01
Probe Pressure,HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,1.44149187e-02,4.46200000e-02,8.13345317e-04,8.13345317e-02
Probe Velocity X,HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,2.80471485e-02,7.73257000e-02,4.35898320e-02,4.35898320e+00
Probe Velocity Z,HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,1.03181712e-01,3.70877700e-01,2.69456306e-01,2.69456306e+01
