signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM,0.00000000e+00,1.50000000e+02,5.26707810e-06,2.27470000e-05,7.99379672e-04,7.99379672e-02
Lift (Lz),HDM,Local-HPROM,0.00000000e+00,1.50000000e+02,4.98308717e-05,1.33433100e-04,5.05554861e-02,5.05554861e+00
Probe Pressure,HDM,Local-HPROM,0.00000000e+00,1.50000000e+02,3.66106925e-03,1.49700000e-02,2.06571649e-04,2.06571649e-02
Probe Velocity X,HDM,Local-HPROM,0.00000000e+00,1.50000000e+02,7.75737676e-03,3.07286000e-02,1.20562256e-02,1.20562256e+00
Probe Velocity Z,HDM,Local-HPROM,0.00000000e+00,1.50000000e+02,2.04943605e-02,7.24786000e-02,5.35204789e-02,5.35204789e+00
