signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,1.34957619e-05,3.80320000e-05,2.04823956e-03,2.04823956e-01
Lift (Lz),HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,1.87207792e-04,4.88021100e-04,1.89930070e-01,1.89930070e+01
Probe Pressure,HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,1.04791076e-02,3.02500000e-02,5.91271671e-04,5.91271671e-02
Probe Velocity X,HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,2.08363996e-02,5.79826000e-02,3.23831549e-02,3.23831549e+00
Probe Velocity Z,HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,7.37956578e-02,2.67234300e-01,1.92715404e-01,1.92715404e+01
