signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,6.66800333e-06,1.92630000e-05,1.01199683e-03,1.01199683e-01
Lift (Lz),HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,9.81816278e-05,3.05719800e-04,9.96093335e-02,9.96093335e+00
Probe Pressure,HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,5.49440189e-03,1.86800000e-02,3.10015348e-04,3.10015348e-02
Probe Velocity X,HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,1.08709326e-02,3.55123000e-02,1.68951979e-02,1.68951979e+00
Probe Velocity Z,HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,3.86032068e-02,1.68705100e-01,1.00811251e-01,1.00811251e+01
