signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,4.14141139e-05,1.11595000e-04,6.28538255e-03,6.28538255e-01
Lift (Lz),HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,6.84123341e-04,1.86179250e-03,6.94071504e-01,6.94071504e+01
Probe Pressure,HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,3.63329543e-02,1.02250000e-01,2.05004543e-03,2.05004543e-01
Probe Velocity X,HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,6.75044518e-02,2.01769500e-01,1.04912900e-01,1.04912900e+01
Probe Velocity Z,HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,2.35462331e-01,7.99604100e-01,6.14903634e-01,6.14903634e+01
