signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,6.42099733e-06,1.95800000e-05,9.74508949e-04,9.74508949e-02
Lift (Lz),HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,5.55764199e-05,1.46861300e-04,5.63845830e-02,5.63845830e+00
Probe Pressure,HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,3.91668953e-03,1.17300000e-02,2.20994731e-04,2.20994731e-02
Probe Velocity X,HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,7.71907389e-03,2.48588000e-02,1.19966967e-02,1.19966967e+00
Probe Velocity Z,HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,2.35703264e-02,8.52473600e-02,6.15532824e-02,6.15532824e+00
