signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,QPROM,0.00000000e+00,1.50000000e+02,2.34614810e-05,6.25400000e-05,3.56072771e-03,3.56072771e-01
Lift (Lz),HDM,QPROM,0.00000000e+00,1.50000000e+02,1.87994816e-04,3.27545900e-04,1.90728538e-01,1.90728538e+01
Probe Pressure,HDM,QPROM,0.00000000e+00,1.50000000e+02,1.05902939e-02,2.18300000e-02,5.97545230e-04,5.97545230e-02
Probe Velocity X,HDM,QPROM,0.00000000e+00,1.50000000e+02,2.58005692e-02,6.47231000e-02,4.00982821e-02,4.00982821e+00
Probe Velocity Z,HDM,QPROM,0.00000000e+00,1.50000000e+02,7.60482302e-02,1.75417130e-01,1.98597937e-01,1.98597937e+01
