signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,2.61889026e-05,7.03320000e-05,3.97466603e-03,3.97466603e-01
Lift (Lz),HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,4.26549409e-04,1.09948620e-03,4.32752072e-01,4.32752072e+01
Probe Pressure,HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,2.28494605e-02,7.08400000e-02,1.28925470e-03,1.28925470e-01
Probe Velocity X,HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,4.44462548e-02,1.16932100e-01,6.90767114e-02,6.90767114e+00
Probe Velocity Z,HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,1.65133466e-01,5.69805200e-01,4.31241670e-01,4.31241670e+01
