signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-10,0.00000000e+00,1.50000000e+02,4.14090962e-05,7.19810000e-05,6.28462103e-03,6.28462103e-01
Lift (Lz),HDM,HPROM-10,0.00000000e+00,1.50000000e+02,1.47697288e-04,5.06122470e-04,1.49845024e-01,1.49845024e+01
Probe Pressure,HDM,HPROM-10,0.00000000e+00,1.50000000e+02,1.31228309e-02,4.05400000e-02,7.40440735e-04,7.40440735e-02
Probe Velocity X,HDM,HPROM-10,0.00000000e+00,1.50000000e+02,5.83366638e-02,1.15326600e-01,9.06646665e-02,9.06646665e+00
Probe Velocity Z,HDM,HPROM-10,0.00000000e+00,1.50000000e+02,8.75393333e-02,2.37441800e-01,2.28606648e-01,2.28606648e+01
