signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-35,0.00000000e+00,1.50000000e+02,7.73883959e-06,1.53610000e-05,1.17451668e-03,1.17451668e-01
Lift (Lz),HDM,HPROM-35,0.00000000e+00,1.50000000e+02,1.71508195e-05,5.81878000e-05,1.74002177e-02,1.74002177e+00
Probe Pressure,HDM,HPROM-35,0.00000000e+00,1.50000000e+02,2.76958827e-03,9.96000000e-03,1.56270853e-04,1.56270853e-02
Probe Velocity X,HDM,HPROM-35,0.00000000e+00,1.50000000e+02,7.52399686e-03,2.45826000e-02,1.16935152e-02,1.16935152e+00
Probe Velocity Z,HDM,HPROM-35,0.00000000e+00,1.50000000e+02,1.30766488e-02,3.75868000e-02,3.41493217e-02,3.41493217e+00
