signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,2.46406844e-05,5.11590000e-05,3.73969435e-03,3.73969435e-01
Lift (Lz),HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,3.52717974e-04,7.82342600e-04,3.57847014e-01,3.57847014e+01
Probe Pressure,HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,1.96884649e-02,4.61600000e-02,1.11089913e-03,1.11089913e-01
Probe Velocity X,HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,4.13085479e-02,9.28984000e-02,6.42002040e-02,6.42002040e+00
Probe Velocity Z,HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,1.41854838e-01,4.17562200e-01,3.70450149e-01,3.70450149e+01
